y_true,y_prob
1,0.9999991915130715
1,0.9999994804089332
1,0.9999972171752199
1,0.9999999518241641
1,0.9999992826812384
1,0.9657656419382648
1,0.9999998492132939
1,0.9999998505889872
1,0.9999995981635417
1,0.8354156137088723
1,0.9928474023431602
0,0.0007527606161549796
0,0.010269390370907953
0,2.938359758721236e-05
0,4.813710027500995e-06
0,7.808912694696351e-07
0,3.424604048933299e-05
0,1.365844847163399e-05
0,1.1514722643379696e-07
0,6.62591545028059e-09
0,1.5418434912955781e-07
0,0.00012547324217121437
0,4.5284764263013216e-06
0,0.0006184145977438464
0,1.720304071200055e-11
0,0.0012933876536433708
0,7.926861279466077e-07
0,0.0009464677371880289
0,1.8234405100583006e-07
0,3.7940055248916567e-07
0,2.9740487542477093e-05
0,1.4187733455233127e-07
0,2.2062623882392777e-08
0,1.0105980150069566e-05
0,0.00014443422640505386
0,3.608327919445619e-05
0,1.6846768837336567e-05
0,5.457632027684776e-06
0,5.445124366444272e-06
1,0.9999998988967012
0,5.190131908840778e-07
1,0.9999993335677881
0,4.287479213948164e-07
0,2.4463356970365174e-09
0,4.130127514069785e-09
0,4.706809024048341e-10
0,3.3882245845038295e-09
0,8.547441748762769e-08
0,5.119151048421469e-08
1,0.9999799094981782
0,3.191636830391105e-07
0,4.910099721910108e-10
0,2.2227887680741463e-06
0,4.584368721111988e-09
0,2.1626177818258727e-09
0,1.4290307847911572e-09
0,2.908216291508119e-09
0,5.629677903751819e-08
0,1.282218650766214e-08
0,1.3574984864225414e-07
0,7.969048153434406e-09
0,1.0980344520011608e-09
0,3.564536999192633e-09
0,1.8424369230109752e-05
0,1.4265938124542223e-09
0,2.1712335314552613e-09
0,1.1383219642020056e-08
0,6.508959103462718e-09
0,1.5286353279316732e-09
0,2.106866002806362e-07
0,7.675022124453857e-07
0,3.372514122083417e-11
0,1.8503460274709528e-08
0,6.746551713282478e-08
0,4.287452195044219e-06
0,5.419819126849369e-09
0,2.6774295315936004e-08
0,3.4978308591997816e-09
0,7.898081983838623e-10
0,1.5352421776368933e-10
0,2.2888683984007743e-10
1,0.9999987881323358
0,5.570048385729296e-07
0,3.027322434199652e-08
1,0.9999987869757875
0,1.3895708645731892e-08
0,2.407485388455005e-10
0,8.247639548100091e-11
0,1.3013357907013259e-06
0,3.3515072399151274e-09
0,2.5705659950996986e-09
0,9.064039084737381e-09
0,4.179675782298803e-09
0,4.756078765469375e-10
0,6.570496953532624e-11
0,4.029242639191995e-12
0,1.5188724904576671e-09
0,3.203191201864824e-06
0,5.008761840282086e-09
0,1.883518066370548e-11
0,6.122575369047987e-11
0,1.7685550542788994e-09
0,2.478464954081736e-06
0,1.5834250439454751e-10
0,4.143264224468033e-09
0,1.2661620212447547e-08
0,1.2585511119839866e-09
0,2.069404016756751e-08
0,1.7740589827008692e-09
0,7.490013942900628e-09
0,2.4142117555684146e-08
0,3.746792491620123e-11
0,2.833245994789021e-11
0,3.849443033988428e-09
0,1.0854191811416839e-06
0,2.8719879136228725e-08
0,2.386249347807675e-06
0,2.9993282197853226e-11
0,1.5616861745152323e-09
0,2.7555095229459416e-11
0,4.77985150060889e-08
0,1.2058782033555532e-08
0,7.529934990206837e-10
0,5.719201818923958e-11
0,9.747064056437513e-09
0,2.596630941151343e-08
0,3.385223754267563e-09
0,4.1108459374822234e-10
0,1.762152088435483e-08
0,1.8653134310719328e-10
0,2.408183375789698e-09
0,1.7151473220738003e-06
0,1.914926262661385e-05
0,1.9111992039966078e-10
0,4.393252662974846e-09
0,1.8154928817079526e-10
0,1.7536955646911837e-09
0,1.708682103322687e-10
0,6.75843615677207e-10
0,1.9094297402012527e-10
0,8.303681144802989e-06
0,7.055800682550847e-12
0,4.894276259848365e-06
0,6.260393236178818e-11
0,3.333476610561874e-07
0,9.32846593061099e-10
0,1.7826248530271795e-07
0,1.5396485982201228e-08
0,3.398505375592431e-11
0,2.837819436293591e-09
0,1.160229066885708e-07
0,9.408840374612762e-10
0,3.1226689820221656e-10
0,2.9065676499188983e-11
0,7.993314877815174e-11
0,1.2567644712648394e-08
0,2.3951332761530366e-06
0,5.072759731218085e-06
0,1.739920925976808e-07
0,9.393291730221016e-07
0,1.8223922489058558e-11
0,1.9475588585540132e-07
0,2.1371184047547552e-10
0,5.5404668645168046e-11
0,1.0162855055608586e-06
0,6.568170097494044e-10
0,5.922302625670491e-06
0,1.842683058902859e-11
0,2.0332667616521977e-10
0,2.0113120579952825e-10
0,9.564159814635959e-09
0,1.3402456843501678e-05
0,7.400782549656957e-10
0,5.41749496329315e-07
0,1.456090559225349e-08
0,8.389378042867795e-10
0,3.2039687697190904e-09
0,3.9410650265720915e-09
0,4.217882693673283e-09
0,8.220092698450093e-10
0,2.0557151088475075e-06
0,1.8808947303753849e-06
0,3.2480351119423784e-08
0,7.573028449868044e-09
0,9.151447876434244e-08
0,5.590644008433425e-07
0,3.1022110937233493e-11
0,1.6297213799556124e-06
0,1.0269766254772698e-09
0,4.936342481372107e-11
0,3.887343882085786e-09
0,4.047864322745883e-07
0,6.104417391568306e-09
0,5.440524534381403e-09
0,6.6262580816718e-08
0,1.8732051076917373e-08
0,1.0475883515186424e-06
0,5.5627088743068105e-06
0,6.680754937616095e-09
0,6.789110966065165e-12
0,8.811598535524438e-07
0,3.85536760809324e-06
0,3.152926695690682e-08
0,1.8000632330601646e-08
